,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
169736,50237325,DE,IP-MLB42AZ_A0_0682-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1550*27,FY,SDRYAQ1,QD7AD7DK002RT61C194BIAEM8FLB3,AUDI,Q5 SPORTBACK 50 TFSI E,M1G,M1G,1,2150.0,2272.0,44.0,40.0,2824.0,1622.0,1626.0,PETROL/ELECTRIC,P,1984.0,195.0,211.0,,,,,,P,2021,2021-12-29,,68.0
174163,50241752,DE,IP-SA9-2018-0002,,MORGAN,MORGAN TECHNOLOGIES LTD,,E5*KS07/46*1208*01,3000,B,16WC,MORGAN,ROADSTER SPORT,M1,M1,1,1100.0,1020.0,,225.0,2475.0,1250.0,1400.0,PETROL,M,3721.0,210.0,,,,,,,P,2021,2021-08-02,,
174164,50241753,DE,IP-CX001-202-1,,MORGAN,MORGAN TECHNOLOGIES LTD,,E9*KS07/46*6707*00,LP19,A,CA18,MORGAN,PLUS SIX,M1,M1,1,1160.0,1224.0,,180.0,2520.0,1492.0,1492.0,PETROL,M,2998.0,250.0,,,,,,,P,2021,2021-06-01,,
174177,50241766,DE,IP-CX001-202-1,,MORGAN,MORGAN TECHNOLOGIES LTD,,E9*KS07/46*6707*01,LP19,CA19SP,,MORGAN,SIX,M1,M1,1,1185.0,1224.0,,179.0,2520.0,1492.0,1492.0,PETROL,M,2998.0,250.0,,,,,,,P,2021,2021-08-11,,
174186,50241775,DE,IP-CX002-202-1,,MORGAN,MORGAN TECHNOLOGIES LTD,,E9*KS07/46*6806*00,MP19,B,CA15A,MORGAN,PLUS FOUR,M1,M1,1,1115.0,1185.0,,159.0,2520.0,1455.0,1455.0,PETROL,M,1998.0,190.0,,,,,,,P,2021,2021-02-25,,
174226,50241815,DE,IP-2019_0001-WEL-1,VW-SAIC,NEXT EGO MOBILE,NEXT E.GO MOBILE SE,,E13*KS07/46*1628*01,KSADF1,2E221C,1CE4C6D,E.GO,E.GO LIFE FIRST EDITION,M1,M1,1,1231.0,1291.0,0.0,0.0,2200.0,1480.0,1480.0,ELECTRIC,E,,53.0,155.0,,,,,,P,2021,2021-03-24,,
174371,50241960,DE,IP-T32A1DZP6DA7_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E13*2007/46*1456*20,T32,H,H16,NISSAN,NISSAN X-TRAIL,M1,M1,1,1595.0,1745.0,,166.0,2705.0,1575.0,1575.0,PETROL,M,1332.0,116.0,,E2 28,,0.8,,,P,2021,2021-09-06,7.3,
174375,50241964,DE,IP-F16A1RNP6DAL_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E9*2007/46*6697*05,F16,A,A14,NISSAN,NISSAN JUKE,M1,M1,1,1286.0,1394.0,,140.0,2636.0,1552.0,1560.0,PETROL,M,999.0,84.0,,E2 28 29,,1.6,,,P,2021,2021-08-16,6.2,
174491,50242080,DE,,,AA-IVA,AA-IVA,,,G07,21EM,21EM,BMW,X7 XDRIVE40I,M1,M1,1,2472.0,,,,,,,PETROL,H,2998.0,280.0,,,,,,,P,2021,2021-11-23,,
175469,50243058,DE,IP-ZE1A1EM57EA6_00-SJN-1,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E9*2007/46*6537*07,ZE1,A,A03,NISSAN,NISSAN LEAF 62 KWH,M1,M1,1,1756.0,1890.0,0.0,0.0,2700.0,1530.0,1545.0,ELECTRIC,E,,90.0,185.0,,,,,,P,2021,2021-08-02,,
